"RowGene","ColGene","Correlation","PValue"
"RNA_127683","RNA_127686",0.875011844224663,0
"RNA_127683","RNA_127702",0.889848405723332,0
"RNA_127683","RNA_127703",0.85972131976976,0
"RNA_127683","RNA_127704",0.867024259285936,0
"RNA_127683","RNA_127705",0.87401578790526,0
"RNA_127683","RNA_127706",0.887070752311628,0
"RNA_127683","RNA_127707",0.885916599505896,0
"RNA_127683","RNA_127708",0.899140845757738,0
"RNA_127683","RNA_127710",0.849133248902654,0
"RNA_127683","RNA_127721",0.894255777058901,0
"RNA_127683","RNA_127722",0.893531151582665,0
"RNA_127683","RNA_127723",0.895764901678736,0
"RNA_127683","RNA_127724",0.887657736484856,0
"RNA_127683","RNA_127725",0.879584878092246,0
"RNA_127683","RNA_127726",0.899320777764383,0
"RNA_127683","RNA_127727",0.895668514596493,0
"RNA_127683","RNA_127728",0.90161828922168,0
"RNA_127683","RNA_127729",0.9016901737778,0
"RNA_127683","RNA_127742",0.891713903296372,0
"RNA_127683","RNA_127743",0.897427460825949,0
"RNA_127683","RNA_127744",0.90137154693972,0
"RNA_127683","RNA_127745",0.867520406418637,0
"RNA_127683","RNA_127746",0.894485106144272,0
"RNA_127683","RNA_127747",0.896301163821819,0
"RNA_127683","RNA_127748",0.887754469416858,0
"RNA_127683","RNA_127749",0.88822800351813,0
"RNA_127683","RNA_127750",0.901243081205411,0
"RNA_127683","RNA_127751",0.890314722091018,0
"RNA_127683","RNA_127762",0.896634678891399,0
"RNA_127683","RNA_127763",0.895547711428425,0
"RNA_127683","RNA_127764",0.892571340065147,0
"RNA_127683","RNA_127765",0.855719122754786,0
"RNA_127683","RNA_127766",0.879155002350971,0
"RNA_127683","RNA_127767",0.895362027704942,0
"RNA_127683","RNA_127769",0.86744985766504,0
"RNA_127683","RNA_127770",0.898196569686368,0
"RNA_127683","RNA_127771",0.892988690542175,0
"RNA_127683","RNA_127782",0.892239382359296,0
"RNA_127683","RNA_127783",0.889906559326971,0
"RNA_127683","RNA_127784",0.901952975919109,0
"RNA_127683","RNA_127787",0.901948159556195,0
"RNA_127683","RNA_127788",0.89475761438086,0
"RNA_127683","RNA_127789",0.894830913094921,0
"RNA_127683","RNA_127790",0.86793866559769,0
"RNA_127683","RNA_127791",0.86569869682829,0
"RNA_127683","RNA_127900",0.892984303959959,0
"RNA_127683","RNA_127901",0.865676144435237,0
"RNA_127683","RNA_127902",0.880592483354545,0
"RNA_127683","RNA_127903",0.899275733399848,0
"RNA_127683","RNA_127904",0.893712074369982,0
"RNA_127683","RNA_127905",0.896287892383715,0
"RNA_127683","RNA_127906",0.845279558819093,0
"RNA_127683","RNA_127907",0.884340112623768,0
"RNA_127683","RNA_127908",0.84307860412583,0
"RNA_127683","RNA_128031",0.904931561772829,0
"RNA_127683","RNA_128032",0.899026325063992,0
"RNA_127683","RNA_128033",0.896773261783452,0
"RNA_127683","RNA_128034",0.883609836253116,0
"RNA_127683","RNA_128035",0.891445355626306,0
"RNA_127683","RNA_128036",0.895201358820528,0
"RNA_127683","RNA_128037",0.898451218305288,0
"RNA_127683","RNA_128038",0.891094849241154,0
"RNA_127683","RNA_128039",0.893655504879332,0
"RNA_127683","RNA_128113",0.850796648810462,0
"RNA_127683","RNA_128114",0.869572113184174,0
"RNA_127683","RNA_128115",0.891696287772047,0
"RNA_127683","RNA_128116",0.894359626455665,0
"RNA_127683","RNA_128117",0.900766267970379,0
"RNA_127683","RNA_128118",0.89597432824525,0
"RNA_127683","RNA_128119",0.88334731882532,0
"RNA_127683","RNA_128120",0.847156519669932,0
"RNA_127683","RNA_128121",0.889259174828426,0
"RNA_127683","RNA_128122",0.895855275904588,0
"RNA_127683","RNA_128133",0.867153787399835,0
"RNA_127683","RNA_128134",0.880949240597929,0
"RNA_127683","RNA_128136",0.877808332469144,0
"RNA_127683","RNA_128137",0.877409734893762,0
"RNA_127683","RNA_128139",0.877372438842504,0
"RNA_127683","RNA_128140",0.888272223823361,0
"RNA_127683","RNA_128141",0.900858065499255,0
"RNA_127683","RNA_128142",0.882813966244253,0
"RNA_127683","RNA_128153",0.863860137001912,0
"RNA_127683","RNA_128155",0.874332432904385,0
"RNA_127683","RNA_128156",0.888238256969004,0
"RNA_127683","RNA_128157",0.893639923538116,0
"RNA_127683","RNA_128158",0.887904975806645,0
"RNA_127683","RNA_128159",0.89319995486405,0
