"","PACE001","PACE003","PACE004","PACE005","PACE006","PACE007","PACE010","PACE011","PACE013","PACE014"
"XRRA1",0,135.314019965491,43.635784573676,127.538743818026,29.440593835786,28.7222570764347,25.4328245753837,3.10963678185024,111.584431836611,26.8815034048241
"XXYLT1",79.0777879422346,22.928208938597,2.67157864736792,24.4696427092725,25.318910698776,4.85446598474953,17.5203902630421,18.6578206911014,52.6341659606658,23.7189735924918
"XYLT1",0,35.3319941021004,32.9494699842043,8.15654756975749,46.5161382605419,16.1815532824984,15.8248686246832,4.93883488882097,77.8985656217854,13.440751702412
"XYLT2",445.417744327689,320.619052862677,1165.6988164682,2398.0249855087,1016.87811108805,1107.62732218702,848.608579998637,768.263204927706,1054.08689697227,554.233349611225
"YAF2",311.469654547985,213.119581445648,171.871559647336,96.3955621880431,146.025345425499,137.138664069174,186.507380219481,240.539551066651,190.886575217348,298.859067265397
"YARS",251.757855489563,407.4455490072,339.290488215725,476.787280668551,380.372472358356,289.649803756722,176.616837329054,241.81998974153,619.679580576905,241.142898190333
"YBEY",32.2766481396876,49.2392683763314,62.3368351052514,64.5108762335365,32.9734650960804,34.3858007253092,54.8218663069382,57.2539007481838,19.6500886253152,52.972374356565
"YBX1",272.73767678036,394.665891566015,632.273613210407,642.142745037271,494.01316456449,761.746620773614,753.376781310811,704.058351373033,593.71339203631,789.051188176894
"YBX3",2603.11167246581,3934.63100277433,4638.75105804649,9403.01633928134,5388.21748382556,5343.95797154511,8318.51174472856,6729.80275535601,3325.7774998346,6434.95753564303
"YDJC",29.0489833257188,240.93412999411,131.797879936817,147.559360580158,146.025345425499,106.79825166449,76.5810606658776,156.945197578089,115.093376233989,124.919927587124
"YEATS2",245.302525861626,280.024846873029,111.315776973663,309.948807650785,235.524750686288,300.976891054471,296.71628671281,107.008089257788,233.695696865356,112.269808337795
"YEATS4",16.1383240698438,215.750687389421,21.3726291789433,49.6807897430683,204.317721220355,153.320217351673,63.5820614384593,49.3883488882097,28.0715551790218,52.181741903482
"YES1",45.1873073955626,53.7497357085144,23.1536816105219,103.069101108754,136.604355398047,66.7489072903061,113.034775890594,75.9117214392852,9.82504431265761,49.0192120911497
"YIF1A",17.7521564768282,90.9610911990243,58.7747302420942,101.586092459707,57.7035639181406,42.4765773665584,9.890542890427,22.8649763371341,125.620209426122,21.3470762332426
"YIF1B",7062.13061296365,8558.61176281729,21894.4775413959,15596.8019620254,7272.41548931587,9863.46580334692,18335.3709972133,19626.9298481745,8283.91593332932,22205.7030772908
"YIPF1",111.354436081922,188.312011118641,145.155773173657,77.1164497504344,182.531681781873,85.3576935651793,41.5402801397934,122.922112788433,141.059564774584,83.8070400268044
"YIPF2",40.3458101746095,142.831465519129,332.166278489411,309.948807650785,154.857523576235,109.225484656864,211.092443975685,269.440881156788,31.5804995763995,201.61127553618
"YIPF3",3013.02510383984,2507.44396441608,2920.03546157313,2989.00393215386,2135.62067684792,1733.44889538765,3689.73767200872,4131.97560383618,3442.27445382754,5196.82711411496
"YIPF4",61.3256314654065,215.750687389421,56.1031515947262,109.001135704941,244.94574071374,96.6847808629282,103.991993819347,80.301796896015,235.099274624307,93.2946294638011
"YIPF5",101.671441640016,221.012899276968,262.705233657845,229.866340602257,276.741582056389,288.031648428472,225.221790962009,191.517041799835,380.369572675745,304.393494436978
"YIPF6",2075.38847538191,1156.93487070495,1306.40195856291,1533.43094311441,1676.93622488637,2521.49054024532,1591.52964453957,1588.29271628268,1378.31335928997,2206.65517655482
"YJU2",54.8703018374689,96.2233030865712,44.5263107894653,68.2183978561535,91.8546527676524,22.6541745954978,18.6507380219481,35.8522828966263,121.409476149269,16.6032815147443
"YKT6",75.8501231282659,115.768661526031,63.2273613210407,190.566611402516,111.874256575987,72.4124509391805,76.8636476056041,169.932504137581,222.467074793747,92.5039970107181
"YLPM1",22.5936536977813,210.112603224193,48.9789418684118,94.1710492144728,183.709305535305,101.134708015615,35.8885413452637,73.5337639002233,179.657953145739,96.4571592761334
"YME1L1",727.838415549955,1018.23800024032,615.35361511041,869.043068341434,1071.63761562261,1064.7462059884,720.879283242265,435.897908891125,802.144689240547,592.183707359212
"YOD1",169.45240273336,103.74074864021,63.2273613210407,243.213418443678,234.935938809573,411.01145337546,298.976982230622,186.029447478923,106.671909680283,825.420281018715
"YPEL1",14.5244916628594,73.6709664256561,81.0378856368268,200.947671945844,117.762375343144,52.1855093360575,35.6059544055372,67.1315705258257,114.391587354514,37.9503577479869
"YPEL2",1894.63924579966,2560.44195556923,2885.30493915735,2081.40263893721,1838.8594909832,1676.8134588989,3040.91805839671,2400.82251539908,3009.27071519113,1463.46067065674
